f0,f1,f2,f3,v
-0.25995085995085987,-0.1781628979151355,-0.11553371553371557,-0.054726496831759924,4.2
-0.25524728588661033,-0.1749392025366952,-0.11344323817182687,-0.05373627071297054,4.3
-0.2507109004739336,-0.1718300934868724,-0.11142706687730387,-0.052781242205038596,4.4
-0.2463329452852153,-0.16882956798942994,-0.10948130901565131,-0.05185956742846633,4.5
-0.24210526315789466,-0.1659320353580324,-0.10760233918128657,-0.05096952908587251,4.6000000000000005
-0.2380202474690663,-0.16313228223050655,-0.10578677665291841,-0.05010952578296128,4.7
-0.2340707964601769,-0.16042544126429237,-0.10403146509341202,-0.04927806241266877,4.800000000000001
-0.23025027203482037,-0.1578069628976282,-0.102333454237698,-0.04847374148101477,4.9
-0.22655246252676653,-0.15527258983182046,-0.10068998334522963,-0.04769525526879291,5.0
-0.2229715489989462,-0.15281833393353036,-0.09909846622175392,-0.0469413787366202,5.1000000000000005
-0.21950207468879662,-0.1504404552934858,-0.09755647763946522,-0.04621096309237819,5.2
-0.2161389172625127,-0.1481354432103374,-0.09606174100556125,-0.04550292995000263,5.300000000000001
-0.21287726358148887,-0.1458999988962981,-0.09461211714732844,-0.04481626601715551,5.4
-0.20971258671952422,-0.1437310197253918,-0.09320559409756637,-0.0441500182567419,5.5
-0.20664062499999994,-0.1416255848661331,-0.0918402777777778,-0.043503289473684155,5.6000000000000005
-0.2036573628488931,-0.13958094215872985,-0.090514383488397,-0.04287523428397746,5.7
-0.20075901328273238,-0.13759449611282762,-0.08922622812565889,-0.04226505542794362,5.800000000000001
-0.19794200187090732,-0.13566379691573463,-0.08797422305373664,-0.04167200039387519,5.9
-0.19520295202952023,-0.13378653035324753,-0.08675686756867572,-0.04109535832200422,6.0
-0.19253867151956316,-0.13196050855588745,-0.08557274289758368,-0.04053445716201326,6.1000000000000005
-0.1899461400359066,-0.13018366149274713,-0.0844205066826252,-0.039988661060190826,6.2
-0.18742249778565095,-0.12845402914341922,-0.0832988879047338,-0.03945736795487385,6.300000000000001
-0.1849650349650349,-0.1267697542857695,-0.08220668220668223,-0.038940007361059945,6.4
-0.18257118205349435,-0.12512907584376215,-0.08114274757933086,-0.038436038327051406,6.5
-0.1802385008517887,-0.12353032274524728,-0.08010600037857281,-0.03794494754774495,6.6000000000000005
-0.17796467619848608,-0.12197190824467646,-0.07909541164377164,-0.037466247620733875,6.7
-0.17574750830564778,-0.12045232467019959,-0.07811000369139906,-0.036999475432767916,6.800000000000001
-0.17358490566037732,-0.11897013855858926,-0.07714884696016774,-0.036544190665342556,6.9
